year,State,S_l,H_l,S_o,H_o,c1,c2,c3,c4,epsilon
2010,PA,0.95818041679,0.0425952528644,0.0023215687664,-0.0126798068962,-1.24899687287,4.4492002953e-05,0.924314777244,0.0390157940576,4.40895043137
2011,OH,0.893194410175,-0.0127544782858,0.00377402145321,0.000662118728045,0.955366740882,-8.20695499792e-05,3.9998939907,-3.00745816018,-244.099406873
2011,PA,0.805561291927,0.0216525770629,-0.0141059038969,0.0259670019109,2.86165458623,-1.3543402414e-05,0.189951981578,-0.337527284605,-192.135757778
2012,KY,0.856924209806,0.0888596530085,-0.0203156568044,0.01154374777,-0.0260066183674,-1.09317458556e-05,-0.0364093192514,1.15804333787,-61.2624544823
2012,OH,0.726648632769,0.0356717959953,0.00973143193354,-0.0178668804696,-2.19386701018,9.69359189302e-05,-0.364592189843,3.35617714274,8.6362736005
2013,KY,0.734258098624,0.0134334203101,0.011632263969,0.00343465648574,1.45713633168,0.000281466805934,-2.82456905899,-0.171606311941,132.980320809
2013,OH,1.18928493327,-0.0225698858836,-0.00646975479779,0.0225809238139,0.343031312512,-2.47070949714e-06,-1.28492794385,1.78552508657,-14.9675668329
2014,KY,0.705425384401,0.015707755387,0.00617334025339,-0.00395709602946,-0.847138766563,0.000166959750065,-0.827892651379,0.470134526283,100.176252192
2014,OH,0.728870188313,0.139899492132,0.0113017119298,-0.00920699523052,0.863732099724,8.87070394368e-06,1.70569202665,-3.82268347116,16.8408035554
2014,PA,1.09321976314,0.00424533666099,-0.00116364979245,0.0121149175681,1.42503816016,-8.81481457709e-06,1.33845773711,2.25818740265,-334.321119304
2015,KY,0.543854259487,0.261179317826,-0.0132146711489,0.0185044549593,0.336263547812,9.68699396771e-05,0.1484499383,0.630914204468,-66.1561860278
2015,OH,0.201547208272,0.72994669014,-0.0198044339108,0.0643140996834,-4.71554894981,1.52687721266e-05,-0.665632510586,4.99900853815,101.615515395
2016,KY,0.5804363046,0.786017314058,-0.0153333082956,0.00431046139819,1.34465144546,2.97886532617e-05,0.0110047758487,-0.988530519556,-37.4407600509
2016,OH,1.17287686528,0.519767097263,-0.0253629942816,0.0302915148336,5.01504291474,-0.000160599457786,-4.04795090893,1.50814880202,-118.264895694
2016,PA,0.435159048374,0.664385575512,-0.0769407682511,0.133324544394,2.17489777874,0.000138931777644,-1.87936235984,2.64759243934,-136.87030719
