year,State,S_l,H_l,S_o,H_o,c1,c2,c3,c4,epsilon
2010,PA,0.914891001748,0.0577499152717,-0.0176171117965,0.0074664881334,-0.940072276744,4.88953261185e-05,-1.27098998476,1.18818474056,111.014216397
2011,OH,1.05925758408,-0.0324439514438,-0.0166240461508,0.00613696470015,-0.830427233001,2.42198475985e-05,1.80374195253,-1.71436505438,-4.01734273746
2011,PA,0.775792978018,0.0384761415932,0.044671188087,-0.0229390970451,1.62930683412,-3.50742013503e-05,-0.365139817223,0.339081219245,-95.0710494902
2012,KY,0.661740843706,0.0567870364577,0.0137087384911,-0.0245847178422,0.0948512028816,-1.25682455727e-05,0.175311653678,0.966032820256,-65.3197139035
2012,OH,1.15245393965,-0.0209902276841,-0.0123172217075,-0.000294625315761,-5.72098652531,9.67926344715e-05,-0.360339887995,8.13478574338,-28.0169842396
2013,KY,0.590215503908,0.102062465941,0.00451845364901,0.00184548393971,2.00954095548,0.000104136991226,-0.869370201041,-1.48098999659,16.5546115652
2013,OH,1.14168829121,0.00963778682017,0.0354641792558,-0.0153194171915,-1.07157136821,0.000114438367894,-1.96141955764,4.61037260941,-15.6422111662
2014,KY,0.674918300533,0.191115461701,-0.00475049446176,-0.000965667378971,0.019840866268,8.63644341363e-05,-0.513035511639,-0.489252626947,69.1765540723
2014,OH,0.312801934627,0.430482294573,0.0025596625384,-0.00273227517794,1.28141481106,0.000126392458212,-1.12624146714,-1.2236466338,96.0556296825
2014,PA,1.11392062898,-0.00159617963014,0.0188373706122,0.00210868767279,-0.141789313565,-3.02864066077e-05,-0.414204255548,4.20720845008,-177.744017057
2015,KY,0.674138786826,0.216216511187,0.0163461523197,-0.0109366936247,-1.75127557144,6.05030407265e-05,0.0821882729469,1.68115667912,25.5946158637
2015,OH,0.104334758932,0.786728388788,-0.0269071909349,0.0308027294882,-9.63464666552,4.72529218708e-05,-7.70365118244,3.18820134472,1163.06313059
2016,KY,0.553496778153,0.765546374129,-0.00597819102079,-0.00992118474493,1.53037191963,7.22093089127e-05,-0.481204255691,-0.89857453671,-13.1226627822
2016,OH,1.16345250853,0.526475859742,0.0476292236859,-0.0410810416126,3.77678105919,-0.00022724730295,-4.02491719445,3.11812548551,-119.255171833
2016,PA,-0.231908877892,0.942194217827,0.118341599663,-0.063160241533,-1.98238656819,7.23278737969e-05,-3.43155257876,5.71958289627,131.072662029
